,numchilds,meaneduc,overcrowding,isprecarious,Target,walltype,wallquality,floortype,floorqual,roofqual,region,dependency,headescolari,sumelectronics
1099,1,14.5,2.0,0,2,6,2,5,2,2,1,1.0,8,5.0
1102,0,14.0,1.3,0,4,6,3,5,3,3,1,0.0,11,6.0
1105,2,16.5,1.7,0,4,6,3,5,3,3,1,0.6666666666666666,11,3.0
1110,0,5.3333335,1.3,0,4,4,3,4,3,3,1,0.3333333333333333,5,4.0
1116,1,6.5,2.0,0,4,6,3,5,3,3,1,1.0,7,3.0
1117,0,4.5,1.0,0,3,6,3,5,3,3,1,10.0,9,1.0
1119,0,8.0,1.7,0,4,6,3,5,3,3,1,0.25,11,8.0
1124,0,4.0,1.0,0,3,6,3,5,3,3,1,10.0,4,1.0
1126,0,7.5,1.0,0,4,6,3,5,3,3,1,1.0,6,2.0
1128,4,8.0,2.7,0,3,6,2,3,2,2,1,1.0,9,2.0
1135,0,12.0,1.0,0,4,6,3,5,3,3,1,0.0,12,1.0
1139,2,13.75,2.0,0,4,6,3,5,3,3,1,0.5,13,5.0
1143,0,12.75,1.3,0,4,6,3,5,3,3,1,0.0,15,7.0
1147,1,6.5,2.5,1,3,4,2,4,3,2,1,1.5,7,4.0
1154,0,5.5,2.0,0,4,6,3,5,3,2,1,1.0,9,3.0
1155,0,6.0,0.5,0,2,5,2,5,2,2,1,0.0,6,0.0
1158,1,15.0,1.5,0,4,6,3,5,3,3,1,0.5,13,3.0
1160,1,10.0,1.5,0,4,6,3,5,3,3,1,0.5,6,2.0
1162,0,5.5,1.5,0,2,6,2,3,3,3,1,0.5,6,1.0
1166,3,6.0,3.5,0,1,4,1,4,1,1,1,1.3333333333333333,6,0.0
1173,1,18.0,3.0,0,4,6,2,5,3,1,1,0.5,11,6.0
1180,1,9.5,1.3,0,4,6,3,5,3,3,1,1.0,11,2.0
1183,0,6.0,1.0,0,4,6,3,5,3,3,1,10.0,6,1.0
1188,1,13.333332999999998,1.7,0,4,6,3,5,3,3,1,0.6666666666666666,8,4.0
1189,0,8.5,0.7,0,2,6,3,5,2,3,1,1.0,11,0.0
1191,0,8.5,0.5,0,4,6,3,5,3,3,1,10.0,11,2.0
1193,0,11.0,0.3,0,4,4,1,4,2,2,1,0.0,11,4.0
1194,0,11.5,1.0,0,2,4,1,4,1,1,1,0.0,8,3.0
1197,0,4.5,0.7,0,3,4,1,4,1,3,1,10.0,3,0.0
1198,0,13.333332999999998,1.0,0,4,6,3,5,3,3,1,0.0,14,6.0
1202,0,9.0,1.5,0,4,6,2,5,3,2,1,0.5,4,2.0
1205,0,14.333332999999998,0.8,0,4,6,2,5,3,3,1,0.5,14,6.0
1209,2,15.0,1.3,0,4,6,2,5,2,2,1,1.0,15,4.0
1213,0,7.0,1.0,0,4,6,3,5,3,3,1,2.0,6,3.0
1216,0,9.333333,1.0,0,4,6,3,5,3,3,1,0.5,4,4.0
1218,0,9.5,1.0,0,4,4,3,4,2,3,1,1.0,13,1.0
1221,0,13.0,1.5,0,4,5,2,5,3,3,1,0.0,11,6.0
1224,1,14.0,1.0,0,4,6,3,5,3,3,1,0.5,11,2.0
1228,0,10.25,1.0,0,4,6,3,5,3,3,1,1.0,3,2.0
1230,0,10.5,0.7,0,4,6,2,5,3,3,1,0.0,6,2.0
1233,0,5.0,1.4,0,2,4,3,4,3,2,1,0.0,6,8.0
1235,0,15.0,0.2,0,4,4,2,4,2,3,1,0.0,15,0.0
1238,2,7.0,4.0,0,4,6,2,5,3,1,1,1.0,8,2.0
1240,0,6.5,0.7,0,4,6,3,5,3,3,1,1.0,3,2.0
1243,0,15.0,1.0,0,4,6,2,5,2,3,1,0.0,15,2.0
1246,1,8.666667,1.3,0,3,6,1,5,2,2,1,1.0,0,4.0
1250,0,9.5,1.0,0,4,6,2,5,2,2,1,0.5,6,5.0
1251,0,10.0,1.5,0,4,6,3,5,3,3,1,0.0,8,2.0
1257,2,15.0,1.3,0,4,6,3,5,3,3,1,1.0,14,4.0
1258,0,13.5,1.0,0,4,6,3,5,3,2,1,0.0,16,2.0
1260,0,9.333333,1.0,0,4,6,3,5,3,3,1,0.5,6,4.0
1263,0,11.5,0.7,0,4,6,3,5,3,3,1,10.0,9,2.0
1265,0,6.0,1.0,0,4,6,3,5,3,2,1,10.0,6,1.0
1267,0,11.5,1.0,0,4,6,3,5,3,3,1,0.0,12,3.0
1268,0,4.0,0.3,0,3,6,3,5,2,2,1,10.0,4,0.0
1269,2,8.0,1.5,0,4,5,2,5,3,3,1,2.0,8,1.0
1272,0,10.0,1.0,0,1,1,1,3,1,1,1,0.0,10,0.0
1273,0,0.0,1.0,0,2,6,1,5,2,3,1,10.0,0,1.0
1275,0,7.0,0.5,0,4,6,3,5,3,3,1,0.0,7,1.0
1276,1,11.0,2.0,0,4,6,3,5,3,3,1,1.0,11,1.0
1278,0,16.333334,1.5,0,3,5,3,5,3,3,1,1.0,15,10.0
1284,1,8.333333,1.3,0,4,5,3,5,3,3,1,0.3333333333333333,8,3.0
1289,0,7.333333500000001,1.0,0,4,6,3,5,3,3,1,0.0,6,3.0
1291,0,0.0,0.2,0,4,4,2,5,3,1,1,10.0,10,2.0
1292,0,14.5,0.5,0,4,6,3,5,3,3,1,0.0,12,2.0
1299,1,10.4,2.3,0,4,6,3,5,3,3,1,0.4,6,6.0
1303,0,15.0,1.3,0,4,6,3,5,3,3,1,0.0,11,6.0
1306,0,20.5,1.0,0,4,6,3,5,3,3,1,0.5,15,2.0
1310,1,6.5,1.5,0,4,5,3,5,3,3,1,0.5,7,5.0
1311,0,8.5,1.0,0,4,6,3,5,3,1,1,0.0,11,4.0
1316,0,8.5,1.3,0,4,6,3,5,3,3,1,1.0,11,5.0
1318,1,9.0,1.3,0,4,6,3,5,3,3,1,0.3333333333333333,6,5.0
1322,2,7.599999900000001,1.8,0,4,5,2,3,2,2,1,0.4,6,5.0
1328,1,7.0,1.3,0,3,6,2,5,2,2,1,1.0,6,5.0
1335,0,6.3333335,2.0,0,2,6,3,5,3,2,1,3.0,4,0.0
1337,0,8.5,0.7,0,4,6,3,5,3,3,1,0.0,6,1.0
1338,0,11.0,0.5,0,2,6,3,5,3,3,1,10.0,11,2.0
1340,0,10.5,2.0,0,4,6,3,5,3,3,1,0.0,6,2.0
1341,1,6.666666499999999,2.0,0,4,6,3,5,3,3,1,1.0,6,2.0
1345,0,8.333333,1.3,0,2,6,2,5,2,2,1,1.0,11,3.0
1349,0,11.0,1.0,0,4,5,3,5,3,3,1,0.0,11,2.0
1351,0,12.5,1.7,0,3,5,2,5,2,2,1,0.25,15,5.0
1356,0,14.666667000000002,1.2,0,4,5,2,5,3,2,1,0.6666666666666666,10,5.0
1362,0,8.0,1.3,0,4,6,2,5,2,2,1,0.3333333333333333,9,4.0
1365,0,16.0,1.3,0,4,6,3,5,3,3,1,1.0,17,4.0
1370,1,11.333333,1.3,0,4,6,2,5,2,2,1,0.3333333333333333,7,3.0
1374,0,16.5,1.5,0,4,6,3,5,3,3,1,0.0,10,3.0
1375,0,14.0,1.0,0,4,4,3,4,2,2,1,0.0,14,1.0
1379,1,11.0,1.3,0,4,4,3,4,3,3,1,1.0,11,4.0
1381,0,12.0,1.0,0,4,6,3,5,3,3,1,0.0,11,4.0
1387,2,13.333332999999998,2.0,0,4,6,3,5,3,3,1,1.0,11,6.0
1391,2,7.0,2.5,0,4,6,3,3,3,3,1,0.6666666666666666,6,2.0
1393,0,16.0,0.7,0,2,6,2,3,1,1,1,1.0,6,2.0
1397,3,6.0,1.3,0,2,5,3,5,3,2,1,3.0,6,2.0
1400,2,8.5,2.0,0,1,5,2,5,3,1,1,1.0,8,2.0
1405,0,1.0,1.0,0,1,6,2,5,2,2,1,0.5,2,1.0
1406,0,8.0,1.0,0,4,6,3,5,3,3,1,0.0,8,2.0
1411,2,12.0,2.5,0,3,6,2,3,3,3,1,1.5,9,6.0
1413,0,17.0,1.3,0,4,6,2,5,3,1,1,0.3333333333333333,11,6.0
1416,0,12.0,0.5,0,4,6,2,5,3,3,1,0.0,12,1.0
1422,1,10.0,2.0,0,4,6,2,5,1,2,1,0.5,11,2.0
1423,0,7.666666499999999,1.5,0,2,6,3,5,3,1,1,2.0,6,2.0
1426,0,11.0,0.5,0,4,6,3,5,3,3,1,0.0,11,3.0
1427,0,19.0,1.0,0,4,3,2,4,2,3,1,0.5,14,4.0
1431,0,11.0,0.7,0,4,6,3,5,3,3,1,0.0,7,2.0
1433,0,11.0,1.0,0,4,6,2,5,3,3,1,1.0,11,2.0
1436,1,7.5,1.0,0,1,6,3,5,2,1,1,0.5,6,2.0
1437,0,20.0,1.3,0,4,6,2,5,3,2,1,3.0,18,4.0
1441,0,5.0,1.0,0,3,5,3,5,3,3,1,1.0,4,2.0
1443,1,9.0,6.0,0,4,4,1,3,1,1,1,0.5,10,3.0
1446,0,13.0,0.5,0,4,6,3,5,3,3,1,0.0,13,1.0
1447,1,11.0,1.0,0,4,6,3,5,3,3,1,0.5,11,3.0
1450,2,10.0,1.7,0,1,6,3,5,3,3,1,1.5,11,2.0
1458,2,10.0,1.3,0,3,5,3,5,3,3,1,1.0,9,2.0
1462,0,14.333332999999998,1.3,0,4,6,3,5,3,3,1,0.3333333333333333,18,5.0
1464,0,14.0,2.0,0,4,6,3,5,3,3,1,1.0,11,5.0
1468,0,10.5,0.7,0,1,6,3,5,3,3,1,0.0,6,2.0
1471,0,15.333332999999998,1.0,0,4,6,3,5,3,3,1,0.0,17,6.0
1472,0,8.0,0.5,0,4,6,3,5,3,3,1,0.0,8,3.0
1474,0,14.0,1.5,0,4,6,3,5,3,3,1,0.5,17,6.0
1481,1,4.25,2.0,0,4,4,2,5,2,2,1,0.5,0,3.0
1483,0,6.0,1.0,0,1,4,2,4,2,2,1,1.0,6,0.0
1484,0,10.0,0.3,0,4,6,2,5,2,3,1,0.0,10,1.0
1486,0,11.5,1.0,0,4,6,3,5,3,3,1,0.0,12,3.0
1487,0,4.0,2.0,0,2,6,3,5,3,3,1,10.0,3,1.0
1489,0,9.0,1.0,0,4,5,3,5,3,3,1,0.0,6,3.0
1494,1,8.75,1.7,0,4,6,1,5,1,3,1,0.25,9,5.0
1497,0,15.5,1.0,0,4,6,3,5,3,3,1,0.0,20,5.0
1498,0,18.5,1.3,0,4,6,3,5,3,2,1,1.0,15,4.0
1503,0,4.0,1.0,0,3,6,3,5,3,3,1,1.0,2,1.0
1506,0,7.333333500000001,1.5,0,4,4,2,4,2,2,1,0.0,6,2.0
1507,0,10.0,1.0,0,2,6,3,5,3,2,1,0.0,9,3.0
1510,0,10.75,1.7,0,4,6,3,5,3,3,1,0.25,11,5.0
1517,0,12.333333,1.0,0,4,6,3,5,3,3,1,0.5,11,6.0
1518,1,28.0,1.0,0,4,6,3,5,3,3,1,0.5,16,5.0
1521,0,17.0,0.3,0,4,6,3,5,3,3,1,0.0,17,3.0
1524,1,3.0,1.3,0,2,6,3,5,3,3,1,1.0,3,5.0
1529,0,13.0,1.3,0,4,6,3,5,3,3,1,1.0,15,4.0
1530,0,15.0,0.7,0,4,6,3,5,3,3,1,1.0,15,4.0
1533,0,5.5,0.7,0,1,4,1,3,1,1,1,0.0,5,1.0
1537,0,15.333332999999998,1.3,0,4,6,3,3,3,3,1,0.3333333333333333,14,4.0
1539,2,11.0,2.0,0,4,5,3,5,3,3,1,1.0,11,8.0
1544,0,17.666666,1.0,0,4,6,3,5,3,3,1,0.0,16,5.0
1547,0,13.25,1.3,0,4,5,3,5,3,3,1,0.0,16,5.0
1551,1,7.5,3.3,0,4,6,2,5,2,2,1,0.5,6,8.0
1553,0,10.5,1.0,0,4,6,3,5,3,3,1,0.0,11,5.0
1561,1,12.0,1.7,0,4,5,2,3,1,3,1,1.5,8,5.0
1563,1,4.0,2.0,0,4,6,3,3,2,2,1,1.0,4,1.0
1564,0,16.5,1.3,0,4,6,3,5,2,2,1,0.0,16,6.0
1567,0,9.333333,1.3,0,4,6,3,5,3,3,1,0.3333333333333333,12,1.0
1571,1,12.0,1.5,0,4,3,3,4,3,3,1,0.5,12,2.0
1574,0,5.6666665,1.5,0,4,6,1,5,2,1,1,0.0,1,1.0
1577,0,1.5,0.5,0,4,6,3,5,3,3,1,1.0,3,1.0
1578,0,6.0,0.5,0,4,4,3,3,1,3,1,0.0,6,1.0
1581,0,12.0,1.3,0,4,3,3,5,3,3,1,0.3333333333333333,11,5.0
1589,1,9.0,2.0,0,4,6,3,5,3,3,1,0.14285714285714285,6,7.0
1591,0,6.0,0.5,0,4,6,3,3,3,3,1,0.0,6,1.0
1592,0,10.75,1.7,0,4,6,2,5,3,2,1,0.6666666666666666,6,7.0
1599,0,11.5,1.7,0,2,3,2,4,2,3,1,1.5,6,3.0
1602,0,5.5,2.0,0,4,3,2,3,3,3,1,0.0,6,2.0
1605,0,10.0,1.0,0,4,6,1,3,2,1,1,0.0,8,3.0
1607,1,7.0,1.5,0,4,6,3,5,3,2,1,2.0,7,4.0
1610,0,3.0,1.0,0,4,6,3,3,3,3,1,10.0,3,1.0
1613,2,7.0,2.7,0,3,6,3,4,3,3,1,1.0,7,5.0
1617,0,7.0,3.0,0,4,5,2,5,3,2,1,0.0,9,3.0
1620,1,10.0,1.5,0,4,6,3,4,3,3,1,0.5,9,2.0
1621,3,11.0,2.5,0,2,6,3,5,3,3,1,1.5,11,2.0
1626,0,11.0,0.7,0,4,5,3,5,3,3,1,1.0,11,2.0
1629,1,8.5,1.5,0,4,6,2,5,3,2,1,0.5,6,3.0
1635,3,11.0,2.0,0,4,6,3,5,3,3,1,1.0,9,7.0
1640,0,5.5,1.3,0,3,5,2,3,2,2,1,1.0,3,2.0
1643,0,6.0,0.5,0,4,5,2,5,2,3,1,0.0,6,1.0
1647,1,7.333333500000001,2.0,0,3,5,3,3,1,2,1,0.3333333333333333,8,4.0
1648,3,6.0,2.5,1,2,1,1,1,1,1,1,1.5,6,2.0
1655,0,7.5,2.3,1,4,2,1,3,1,1,1,0.4,4,6.0
1665,3,5.25,1.5,1,2,1,1,3,1,1,1,0.75,6,7.0
1668,1,5.0,1.5,0,1,5,1,3,1,1,1,2.0,5,2.0
1671,0,9.0,1.0,0,4,6,3,5,2,3,1,0.0,11,2.0
1672,1,10.5,1.5,0,4,6,3,5,3,3,1,2.0,6,1.0
1677,0,10.0,1.5,0,3,6,3,5,3,3,1,0.5,9,3.0
1682,1,5.6666665,2.5,0,2,6,1,5,3,1,1,0.6666666666666666,6,2.0
1685,2,5.75,3.0,0,3,6,3,3,3,3,1,0.5,5,3.0
1692,0,8.25,4.0,0,4,1,1,3,2,2,1,0.0,7,0.0
1693,0,6.0,0.5,0,2,6,3,3,1,2,1,0.0,6,1.0
1696,0,9.333333,1.2,0,4,6,3,5,3,3,1,2.0,10,6.0
1700,2,11.5,2.0,0,4,5,3,5,3,3,1,1.0,11,2.0
1704,0,11.0,0.5,0,4,4,1,4,1,1,1,0.0,11,2.0
1705,0,14.0,1.0,0,4,6,3,5,3,3,1,10.0,14,2.0
1706,0,3.0,0.5,0,4,6,3,5,3,3,1,10.0,3,1.0
1707,0,12.75,1.3,0,4,6,3,5,3,3,1,0.0,14,6.0
1711,0,14.0,2.0,0,4,6,3,5,3,3,1,0.0,15,2.0
1714,0,9.0,1.0,0,4,6,2,5,3,2,1,1.0,9,2.0
1715,0,11.0,0.3,0,2,4,1,4,1,1,1,10.0,11,1.0
1717,0,15.0,1.0,0,4,6,3,5,3,3,1,10.0,15,1.0
1718,0,15.0,0.5,0,4,6,3,5,3,3,1,0.0,15,2.0
1719,2,7.666666499999999,1.2,0,1,4,2,4,2,2,1,4.0,11,3.0
1727,0,7.0,1.3,1,2,6,2,5,2,2,1,0.3333333333333333,2,3.0
1731,1,10.333333,1.0,0,4,6,3,5,3,3,1,0.3333333333333333,10,3.0
1732,0,22.0,0.7,0,4,6,3,5,3,3,1,0.0,11,3.0
1734,0,11.0,0.5,0,1,6,3,5,3,2,1,0.0,11,1.0
1735,2,14.5,1.3,0,4,6,3,5,3,2,1,1.0,15,4.0
1741,0,2.0,1.0,0,3,6,3,5,3,3,1,2.0,0,0.0
1744,2,11.5,2.0,0,4,5,3,2,3,3,1,1.0,11,3.0
1747,0,11.0,0.7,0,4,6,3,5,3,3,1,0.0,11,2.0
1749,0,8.5,0.7,0,4,3,3,5,3,3,1,1.0,3,3.0
1753,0,2.3333333,1.7,0,1,4,2,5,3,1,1,1.5,0,4.0
1755,0,9.0,0.5,0,4,5,2,5,2,2,1,0.0,9,1.0
1757,1,6.0,1.5,0,2,2,2,4,2,2,1,1.0,6,4.0
1763,0,11.6,1.2,0,4,5,3,5,3,3,1,0.0,9,6.0
1773,0,10.25,2.3,0,2,4,1,4,2,3,1,0.4,6,2.0
1778,0,11.2,1.0,0,4,5,3,5,3,3,1,0.2,10,6.0
1781,0,9.333333,0.8,0,4,6,3,5,3,2,1,0.5,6,3.0
1785,1,7.5,1.3,0,4,6,3,5,3,3,1,1.0,6,6.0
1788,0,10.0,1.3,0,4,5,3,5,3,3,1,0.0,6,3.0
1791,0,17.0,1.3,0,4,6,3,5,3,3,1,1.0,17,8.0
1795,1,10.0,1.3,0,4,2,3,5,3,3,1,1.0,11,3.0
1800,0,6.0,1.0,0,4,5,3,5,3,3,1,10.0,6,1.0
1804,1,5.0,2.5,0,4,1,2,3,2,3,1,0.6666666666666666,5,2.0
1808,1,8.5,2.0,0,4,6,3,5,2,3,1,1.0,11,3.0
1810,2,11.0,2.5,0,3,4,2,4,2,2,1,1.5,11,5.0
1815,0,11.0,0.5,0,4,5,1,5,3,3,1,0.0,11,1.0
1818,0,13.0,1.5,0,4,6,3,5,3,3,1,0.0,12,3.0
1823,0,9.25,1.5,0,4,5,3,5,3,3,1,0.2,6,7.0
1825,0,15.0,1.0,0,4,3,3,4,3,3,1,0.0,19,2.0
1827,2,7.0,2.0,0,4,6,2,5,2,2,1,1.0,6,3.0
1832,0,29.0,1.0,0,4,6,3,5,3,3,1,0.0,16,2.0
1834,1,14.0,1.0,0,4,6,3,5,3,3,1,1.0,14,1.0
1836,0,14.5,0.7,0,4,6,2,5,2,2,1,1.0,13,3.0
1839,1,10.0,3.0,0,4,6,3,5,3,1,1,0.5,9,3.0
1841,0,0.0,2.0,0,4,6,2,5,2,2,1,10.0,4,2.0
1844,1,11.5,0.8,0,4,4,3,5,3,3,1,0.5,7,5.0
1846,0,10.0,1.0,0,4,6,3,5,3,3,1,10.0,14,3.0
1848,1,15.5,1.5,0,4,6,3,5,3,3,1,0.5,16,4.0
1850,0,14.0,0.5,0,4,6,2,5,3,2,1,0.0,14,1.0
1852,1,21.0,1.0,0,4,6,3,5,3,3,1,1.0,21,2.0
1854,0,10.8,1.2,0,4,6,3,5,3,3,1,0.25,6,5.0
1861,0,16.0,2.0,0,4,6,2,5,2,2,1,0.5,7,9.0
1865,0,6.0,1.0,0,4,6,3,5,3,3,1,0.0,6,2.0
1867,0,14.0,1.0,0,4,6,3,5,3,3,1,0.5,14,3.0
1869,0,15.0,0.2,0,4,6,3,5,3,3,1,0.0,15,1.0
1870,0,14.0,0.7,0,4,6,3,5,3,1,1,0.0,11,2.0
1875,0,12.0,1.0,0,4,6,3,5,3,3,1,0.3333333333333333,14,8.0
1877,0,18.0,0.8,0,4,6,3,5,3,2,1,0.5,11,3.0
1881,0,13.333332999999998,1.3,0,4,6,3,5,3,3,1,0.3333333333333333,12,5.0
1883,0,14.333332999999998,1.0,0,4,6,3,5,3,3,1,0.0,14,6.0
1886,0,15.0,0.5,0,4,6,3,5,3,3,1,0.0,15,2.0
1888,2,7.0,2.0,0,4,4,1,5,1,1,1,1.0,3,3.0
1891,2,5.0,5.0,1,2,1,2,2,2,2,1,1.5,6,3.0
1899,1,7.5,2.3,0,2,6,2,5,2,1,1,3.0,9,3.0
1900,2,8.0,1.5,0,2,6,3,5,3,3,1,1.0,9,3.0
1906,0,13.0,0.3,0,4,6,1,3,1,1,1,0.0,13,1.0
1908,0,16.0,2.0,0,4,5,3,4,3,3,1,1.0,16,2.0
1909,0,4.5,0.7,0,4,4,1,4,1,1,1,1.0,3,1.0
1912,0,17.0,1.0,0,4,6,3,5,3,3,1,0.0,17,4.0
1915,2,13.0,1.5,0,4,5,2,4,2,2,1,2.0,13,3.0
1917,1,6.666666499999999,2.0,0,2,4,1,4,1,1,1,1.0,6,2.0
1920,2,11.666667,1.2,0,4,6,3,5,3,3,1,0.6666666666666666,6,6.0
1925,0,12.0,1.5,0,4,6,3,5,3,3,1,0.0,14,3.0
1928,0,6.0,0.5,0,4,6,3,5,3,3,1,10.0,6,0.0
1929,1,13.0,1.5,0,2,6,3,3,1,2,1,0.5,15,6.0
1932,1,4.5,4.0,0,3,5,2,5,3,3,1,1.0,6,3.0
1936,0,10.0,1.0,0,4,6,3,5,3,3,1,0.0,10,2.0
1938,0,10.666667,0.8,0,4,6,3,5,3,3,1,0.0,12,3.0
1942,1,10.0,1.7,0,4,6,3,5,3,3,1,0.6666666666666666,9,6.0
1947,0,8.5,0.7,0,4,6,3,5,3,3,1,1.0,8,2.0
1949,0,9.333333,1.0,0,4,6,3,5,3,2,1,0.5,4,3.0
1952,0,12.5,0.5,0,4,5,3,5,3,3,1,0.0,13,2.0
1953,1,17.0,1.0,0,4,6,3,5,3,3,1,0.5,17,4.0
1956,1,9.0,1.5,0,4,6,2,5,3,2,1,0.5,9,2.0
1959,0,16.0,1.0,0,4,6,3,5,3,3,1,0.0,16,2.0
1960,0,11.0,0.3,0,4,6,3,5,3,2,1,10.0,11,2.0
1962,0,14.0,1.0,0,4,6,3,5,3,3,1,0.5,16,4.0
1969,0,6.5,2.0,0,4,3,1,5,3,1,1,0.2,9,3.0
1970,0,10.5,1.0,0,4,6,3,5,3,3,1,0.0,14,7.0
1973,0,14.5,0.7,0,4,6,3,5,3,3,1,0.0,16,5.0
1975,1,14.5,1.0,0,4,6,3,5,3,3,1,0.5,15,3.0
1977,1,15.5,0.8,0,4,6,3,5,3,3,1,0.5,14,5.0
1981,0,14.0,0.7,0,4,6,3,5,3,3,1,0.0,15,4.0
1985,0,14.5,1.3,0,4,6,3,5,3,2,1,1.0,14,7.0
1987,0,13.5,1.0,0,4,6,3,5,3,3,1,10.0,16,3.0
1988,0,12.0,1.0,0,4,6,3,5,3,3,1,0.0,13,4.0
1992,0,14.5,1.3,0,4,6,3,5,3,3,1,1.0,15,5.0
1994,0,12.0,1.0,0,4,6,3,5,3,3,1,0.0,12,1.0
1996,0,13.333332999999998,1.0,0,4,6,2,5,2,2,1,0.0,14,4.0
1998,0,10.0,1.0,0,3,6,2,5,2,2,1,0.0,10,1.0
2001,0,16.0,0.8,0,4,6,3,5,3,3,1,0.0,17,5.0
2003,0,5.5,1.0,0,4,6,3,5,3,3,1,1.0,11,0.0
2005,0,4.5,0.7,0,2,6,3,5,3,3,1,10.0,6,0.0
2006,1,6.0,1.3,0,3,5,3,5,3,2,1,1.0,6,2.0
2013,1,6.5,2.0,0,2,3,2,4,1,2,1,1.0,7,3.0
2014,0,14.333332999999998,1.0,0,4,6,3,5,3,3,1,0.0,15,5.0
2017,0,11.0,0.7,0,4,6,3,5,3,3,1,10.0,11,2.0
2023,2,9.0,1.7,0,2,4,2,4,2,2,1,1.5,9,5.0
2028,1,7.599999900000001,2.3,0,3,5,3,5,2,2,1,0.4,2,4.0
2031,0,14.0,1.0,0,4,6,3,5,3,3,1,0.0,14,6.0
2032,0,15.0,1.0,0,4,6,3,5,3,3,1,0.0,15,6.0
2033,0,14.0,1.0,0,4,6,3,5,3,3,1,0.0,14,6.0
2034,0,4.0,0.5,0,3,6,2,3,2,2,1,10.0,4,1.0
2035,0,14.0,1.0,0,4,6,3,5,3,3,1,0.0,17,3.0
2037,0,16.0,1.0,0,4,4,3,4,3,2,1,0.0,16,1.0
2039,0,13.5,1.0,0,4,6,3,5,3,3,1,0.5,13,2.0
2042,0,10.333333,1.3,0,4,6,3,5,3,2,1,3.0,8,2.0
2046,0,8.25,1.0,0,4,6,2,5,3,2,1,0.3333333333333333,6,5.0
2049,0,0.0,1.0,0,4,5,2,5,3,3,1,0.0,12,2.0
2052,2,9.666667,1.7,0,4,5,2,4,3,3,1,0.6666666666666666,15,4.0
2056,0,6.0,1.0,0,4,4,2,5,3,1,1,10.0,6,0.0
2059,1,6.0,1.7,0,4,5,1,4,1,1,1,0.5,11,5.0
2062,0,15.0,1.0,0,4,6,3,5,3,3,1,10.0,15,4.0
2063,0,11.0,0.3,0,4,6,2,5,2,1,1,0.0,11,2.0
2064,0,16.0,1.0,0,4,6,3,5,3,3,1,0.0,16,4.0
2066,0,17.0,0.5,0,4,6,2,5,3,3,1,0.0,17,3.0
2067,0,12.0,2.0,0,4,6,3,5,3,3,1,0.0,11,2.0
2069,0,9.5,1.0,0,4,4,3,5,3,2,1,0.0,8,2.0
2071,0,10.0,0.7,0,4,4,2,4,2,3,1,1.0,6,1.0
2074,0,4.0,2.0,0,4,4,1,4,2,2,1,0.0,6,2.0
2077,2,6.0,2.0,0,3,5,3,4,2,2,1,1.0,3,2.0
2081,0,12.333333,1.0,0,4,6,3,4,3,2,1,0.5,17,5.0
2085,0,12.0,1.5,0,4,6,3,4,3,1,1,0.0,11,5.0
2087,0,16.0,0.5,0,4,6,3,5,3,3,1,1.0,16,3.0
2089,0,17.0,0.5,0,4,6,3,5,3,3,1,0.0,17,1.0
2090,0,21.5,1.5,0,4,6,3,5,3,3,1,0.0,15,4.0
2093,0,14.0,1.3,0,4,6,3,5,3,3,1,0.3333333333333333,12,3.0
2097,0,11.0,1.0,0,4,6,3,5,3,3,1,0.0,11,1.0
2100,0,14.75,1.0,0,4,6,3,5,3,3,1,0.0,17,4.0
2103,0,15.0,1.0,0,4,6,3,5,3,2,1,10.0,15,1.0
2106,0,6.3333335,1.5,0,4,6,3,5,3,3,1,2.0,6,3.0
2107,1,3.0,1.0,0,3,6,2,4,2,2,1,1.0,3,0.0
2109,0,12.0,0.3,0,4,6,3,5,3,3,1,0.0,12,1.0
2110,2,14.333332999999998,1.7,0,4,6,3,5,3,3,1,1.5,15,6.0
2116,0,19.0,0.8,0,4,6,3,5,3,3,1,0.0,17,7.0
2119,0,4.3333335,1.0,0,4,5,2,3,2,2,1,0.0,5,3.0
2123,0,13.0,1.5,0,4,4,1,4,1,1,1,0.0,9,4.0
2125,0,10.5,0.5,0,4,6,3,4,3,2,1,10.0,15,2.0
2128,0,17.0,0.7,0,4,6,3,5,3,3,1,10.0,17,2.0
2129,0,14.333332999999998,1.0,0,4,6,3,5,3,3,1,0.0,19,4.0
2132,0,15.5,0.7,0,4,6,3,5,3,3,1,0.0,15,4.0
2135,0,16.0,0.5,0,4,6,3,5,3,3,1,10.0,17,3.0
2137,0,15.0,1.0,0,4,6,3,5,3,3,1,0.0,15,2.0
2140,0,15.333332999999998,0.8,0,4,6,3,5,3,3,1,0.5,20,7.0
2143,1,9.25,1.7,0,4,6,3,5,3,2,1,0.25,9,6.0
2151,3,6.666666499999999,2.0,0,1,6,1,5,2,1,1,1.0,8,6.0
2153,0,14.0,1.0,0,4,3,3,4,3,3,1,1.0,17,2.0
2154,0,6.0,0.5,0,4,5,3,5,3,3,1,10.0,6,1.0
2155,0,6.0,0.2,0,4,4,2,4,3,2,1,10.0,6,0.0
2159,0,8.3999996,1.2,0,4,6,2,5,3,2,1,0.0,6,5.0
2161,0,7.0,1.6,1,4,1,1,1,1,1,1,0.0,9,6.0
2164,0,17.333334,0.6,0,4,6,3,5,3,3,1,2.0,17,6.0
2170,0,13.75,1.0,0,4,6,3,5,3,3,1,0.0,14,6.0
2171,0,12.5,1.5,0,4,6,3,5,3,3,1,0.5,11,4.0
2175,0,13.0,0.7,0,4,6,3,5,3,3,1,10.0,15,4.0
